"No.","Time","Source","Destination","Length","Info","PayloadBT","Payload","Protocol"
"296","8.916669000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"297","8.916678000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"298","8.916684000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"299","8.916691000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"302","8.976264000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"303","8.976395000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"304","8.976409000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"307","9.022908000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"308","9.023027000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"310","9.036193000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"311","9.124710000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"312","9.124957000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"314","9.226603000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"315","9.226627000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"317","9.326512000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"318","9.326597000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"320","9.339955000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"321","9.428096000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"322","9.428123000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"324","9.528263000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"325","9.528402000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"327","9.630024000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"328","9.630092000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"330","9.703714000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"331","9.731749000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"332","9.731775000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"334","9.833571000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"335","9.833604000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"337","9.937285000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"338","9.937415000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"340","9.973755000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"341","10.038991000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"342","10.039039000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"344","10.140468000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"345","10.140549000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"347","10.242021000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"348","10.242047000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"350","10.288729000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"359","10.344078000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"360","10.344155000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"362","10.446112000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"363","10.446364000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"365","10.548399000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"366","10.548437000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"368","10.562457000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"369","10.649506000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"370","10.649537000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"372","10.751392000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"373","10.751423000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"374","10.852177000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"375","10.852210000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"378","10.953480000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"379","10.953505000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"380","10.957504000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"382","11.054087000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"383","11.054154000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"385","11.156044000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"386","11.156076000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"388","11.257913000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"389","11.258096000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"390","11.265037000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"392","11.359683000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"393","11.359745000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"395","11.463617000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"396","11.463767000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"398","11.477479000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"399","11.566013000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"400","11.566051000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"402","11.667213000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"403","11.667242000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"405","11.768715000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"406","11.768873000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"408","11.804998000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"409","11.868562000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"410","11.868624000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"412","11.969221000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"413","11.969410000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"415","12.069858000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"416","12.069904000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"418","12.113735000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"419","12.171713000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"420","12.171917000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"421","12.275522000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"422","12.275924000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"425","12.382587000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"426","12.382741000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"428","12.436240000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"429","12.477559000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"430","12.477814000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"432","12.578321000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"433","12.578565000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"435","12.679000000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"436","12.679067000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"438","12.753738000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"439","12.780913000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"440","12.780962000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"442","12.882702000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"443","12.882763000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"445","12.984711000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"446","12.984785000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"448","13.012528000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"449","13.088631000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"450","13.088739000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"454","13.189021000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"455","13.189189000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"457","13.290779000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"458","13.291014000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"460","13.326244000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"461","13.392545000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"462","13.392865000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"464","13.494938000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"465","13.494982000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"467","13.594413000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"468","13.594647000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"470","13.637520000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"471","13.695358000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"472","13.695387000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"474","13.796037000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"475","13.796070000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"478","13.899689000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"479","13.899723000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"482","14.000365000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"483","14.000528000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"486","14.357582000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"487","14.357725000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"488","14.357738000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"489","14.357743000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"490","14.357745000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"491","14.357749000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"493","14.357825000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"496","14.417582000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"497","14.417715000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"498","14.417728000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"501","14.507322000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"502","14.507460000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"504","14.580022000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"505","14.606544000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"506","14.606629000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"508","14.706703000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"509","14.706833000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"513","14.807218000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"514","14.807298000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"516","14.892492000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"517","14.908317000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"518","14.908443000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"520","15.010479000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"521","15.010550000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"523","15.114040000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"524","15.114181000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"526","15.156251000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"527","15.216410000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"528","15.216587000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"530","15.319249000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"531","15.319467000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"533","15.422689000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"534","15.422790000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"536","15.436254000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"537","15.522007000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"538","15.522136000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"540","15.624320000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"541","15.624393000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"543","15.725843000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"544","15.725980000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"545","15.827561000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"546","15.827693000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"548","15.912579000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"550","15.929503000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"551","15.929672000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"553","16.029266000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"554","16.029339000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"556","16.105035000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"557","16.130276000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"558","16.130438000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"560","16.230896000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"561","16.230967000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"562","16.332840000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"563","16.332938000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"566","16.345002000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"567","16.434568000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"568","16.434645000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"570","16.536596000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"571","16.536736000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"573","16.636392000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"574","16.636464000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"576","16.656276000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"577","16.738259000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"578","16.739423000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"580","16.838262000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"581","16.838344000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"583","16.939061000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"584","16.939418000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"586","16.967521000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"587","17.040823000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"588","17.040910000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"590","17.142876000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"591","17.143223000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"593","17.246309000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"594","17.246349000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
